#t lex rand randsort randsortdesc randw randwnoh 
32245 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924345816.81
32246 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924390367.49
32247 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924434918.17
32248 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924479468.84
32249 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924524019.52
32250 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924568570.2
32251 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924613120.88
32252 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924657671.56
32253 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924702222.23
32254 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924746772.91
32255 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924791323.59
32256 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924835874.27
32257 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924880424.95
32258 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924924975.62
32259 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924969526.3
32260 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925014076.98
32261 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925058627.66
32262 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925103178.34
32263 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925147729.01
32264 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925192279.69
32265 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925236830.37
32266 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925281381.05
32267 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925325931.73
32268 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925370482.4
32269 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925415033.08
32270 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925459583.76
32271 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925504134.44
32272 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925548685.12
