#t lex rand randsort randsortdesc randw randwnoh 
13024 636389660.091 666690548.965 850119898.644 553555746.147 577201119.466 459634867.9
13025 636397194.141 666722935.063 850165023.807 553563280.196 577233444.951 459642401.949
13026 636404728.19 666755321.16 850210148.969 553570814.246 577265770.436 459649935.999
13027 636412262.24 666787707.257 850255274.131 553578348.295 577298095.921 459657470.048
13028 636419796.289 666820093.354 850300399.294 553585882.345 577330421.406 459665004.098
13029 636427330.339 666852479.451 850345524.456 553593416.394 577362746.891 459672538.147
13030 636434864.388 666884865.548 850390649.618 553600950.444 577395072.376 459680072.197
13031 636442398.438 666917251.645 850435774.781 553608484.493 577427397.861 459687606.246
13032 636449932.487 666949637.742 850480899.943 553616018.543 577459723.345 459695140.296
13033 636457466.537 666982023.839 850526025.105 553623552.592 577492048.83 459702674.345
13034 636465000.586 667014409.936 850571150.267 553631086.641 577524374.315 459710208.395
13035 636472534.636 667046796.034 850616275.43 553638620.691 577556699.8 459717742.444
13036 636480068.685 667079182.131 850661400.592 553646154.74 577589025.285 459725276.494
13037 636487602.735 667111568.228 850706525.754 553653688.79 577621350.77 459732810.543
13038 636495136.784 667143954.325 850751650.917 553661222.839 577653676.255 459740344.592
13039 636502670.834 667176340.422 850796776.079 553668756.889 577686001.74 459747878.642
13040 636510204.883 667208726.519 850841901.241 553676290.938 577718327.224 459755412.691
13041 636517738.932 667241112.616 850887026.404 553683824.988 577750652.709 459762946.741
13042 636525272.982 667273498.713 850932151.566 553691359.037 577782978.194 459770480.79
13043 636532807.031 667305884.81 850977276.728 553698893.087 577815303.679 459778014.84
13044 636540341.081 667338270.907 851022401.89 553706427.136 577847629.164 459785548.889
13045 636547875.13 667370657.005 851067527.053 553713961.186 577879954.649 459793082.939
13046 636555409.18 667403043.102 851112652.215 553721495.235 577912280.134 459800616.988
13047 636562943.229 667435429.199 851157777.377 553729029.285 577944605.619 459808151.038
13048 636570477.279 667467815.296 851202902.54 553736563.334 577976931.103 459815685.087
13049 636578011.328 667500201.393 851248027.702 553744097.384 578009256.588 459823219.137
13050 636585545.378 667532587.49 851293152.864 553751631.433 578041582.073 459830753.186
13051 636593079.427 667564973.587 851338278.027 553759165.483 578073907.558 459838287.236
13052 636600613.477 667597359.684 851383403.189 553766699.532 578106233.043 459845821.285
13053 636608147.526 667629745.781 851428528.351 553774233.582 578138558.528 459853355.335
13054 636615681.576 667662131.878 851473653.514 553781767.631 578170884.013 459860889.384
13055 636623215.625 667694517.976 851518778.676 553789301.681 578203209.498 459868423.434
13056 636630749.675 667726904.073 851563903.838 553796835.73 578235534.982 459875957.483
